run, name, edit distance, time(ms), memory_KB, file1, file2
17, Memoización, 7056, 170.139, 129180, files/test1.txt, files/test3.txt
18, Memoización, 7056, 172.167, 129192, files/test1.txt, files/test3.txt
19, Memoización, 7056, 174.53, 129192, files/test1.txt, files/test3.txt
20, Memoización, 7056, 170.224, 129184, files/test1.txt, files/test3.txt
21, Memoización, 7056, 171.023, 129184, files/test1.txt, files/test3.txt
22, Memoización, 7056, 171.488, 129184, files/test1.txt, files/test3.txt
23, Memoización, 7056, 175.555, 129192, files/test1.txt, files/test3.txt
24, Memoización, 7056, 171.821, 129192, files/test1.txt, files/test3.txt
25, Memoización, 7056, 172.689, 129192, files/test1.txt, files/test3.txt
26, Memoización, 7056, 171.721, 129184, files/test1.txt, files/test3.txt
27, Memoización, 7056, 169.248, 129188, files/test1.txt, files/test3.txt
28, Memoización, 7056, 173.55, 129192, files/test1.txt, files/test3.txt
29, Memoización, 7056, 173.29, 129192, files/test1.txt, files/test3.txt
30, Memoización, 7056, 176.63, 129188, files/test1.txt, files/test3.txt
1, Memoización, 14526, 331.33, 254888, files/test1.txt, files/test4.txt
2, Memoización, 14526, 330.764, 254888, files/test1.txt, files/test4.txt
3, Memoización, 14526, 330.795, 254888, files/test1.txt, files/test4.txt
4, Memoización, 14526, 332.671, 254880, files/test1.txt, files/test4.txt
5, Memoización, 14526, 328.157, 254832, files/test1.txt, files/test4.txt
6, Memoización, 14526, 331.61, 254856, files/test1.txt, files/test4.txt
7, Memoización, 14526, 332.123, 254888, files/test1.txt, files/test4.txt
8, Memoización, 14526, 331.371, 254852, files/test1.txt, files/test4.txt
9, Memoización, 14526, 330.459, 254852, files/test1.txt, files/test4.txt
10, Memoización, 14526, 332.779, 254884, files/test1.txt, files/test4.txt
11, Memoización, 14526, 328.976, 254880, files/test1.txt, files/test4.txt
12, Memoización, 14526, 333.876, 254888, files/test1.txt, files/test4.txt
13, Memoización, 14526, 331.336, 254808, files/test1.txt, files/test4.txt
14, Memoización, 14526, 326.672, 254880, files/test1.txt, files/test4.txt
15, Memoización, 14526, 328.492, 254832, files/test1.txt, files/test4.txt
16, Memoización, 14526, 331.588, 254888, files/test1.txt, files/test4.txt
17, Memoización, 14526, 332.772, 254880, files/test1.txt, files/test4.txt
18, Memoización, 14526, 334.477, 254852, files/test1.txt, files/test4.txt
19, Memoización, 14526, 331.659, 254852, files/test1.txt, files/test4.txt
20, Memoización, 14526, 326.435, 254888, files/test1.txt, files/test4.txt
21, Memoización, 14526, 330.234, 254880, files/test1.txt, files/test4.txt
22, Memoización, 14526, 329.516, 254888, files/test1.txt, files/test4.txt
23, Memoización, 14526, 327.555, 254852, files/test1.txt, files/test4.txt
24, Memoización, 14526, 328.115, 254832, files/test1.txt, files/test4.txt
25, Memoización, 14526, 331.74, 254880, files/test1.txt, files/test4.txt
26, Memoización, 14526, 328.674, 254888, files/test1.txt, files/test4.txt
27, Memoización, 14526, 333.267, 254852, files/test1.txt, files/test4.txt
28, Memoización, 14526, 330.468, 254852, files/test1.txt, files/test4.txt
29, Memoización, 14526, 332.887, 254880, files/test1.txt, files/test4.txt
30, Memoización, 14526, 334.259, 254840, files/test1.txt, files/test4.txt
1, Memoización, 30146, 594.812, 509840, files/test1.txt, files/test5.txt
2, Memoización, 30146, 613.58, 509856, files/test1.txt, files/test5.txt
3, Memoización, 30146, 598.758, 509736, files/test1.txt, files/test5.txt
4, Memoización, 30146, 609.606, 509852, files/test1.txt, files/test5.txt
5, Memoización, 30146, 595.095, 509804, files/test1.txt, files/test5.txt
6, Memoización, 30146, 595.959, 509844, files/test1.txt, files/test5.txt
7, Memoización, 30146, 595.933, 509852, files/test1.txt, files/test5.txt
8, Memoización, 30146, 595.839, 509820, files/test1.txt, files/test5.txt
9, Memoización, 30146, 603.974, 509800, files/test1.txt, files/test5.txt
10, Memoización, 30146, 616.388, 509808, files/test1.txt, files/test5.txt
11, Memoización, 30146, 596.721, 509852, files/test1.txt, files/test5.txt
12, Memoización, 30146, 611.428, 509792, files/test1.txt, files/test5.txt
13, Memoización, 30146, 593.883, 509816, files/test1.txt, files/test5.txt
14, Memoización, 30146, 593.364, 509848, files/test1.txt, files/test5.txt
15, Memoización, 30146, 596.759, 509816, files/test1.txt, files/test5.txt
16, Memoización, 30146, 598.799, 509852, files/test1.txt, files/test5.txt
17, Memoización, 30146, 609.361, 509820, files/test1.txt, files/test5.txt
18, Memoización, 30146, 599.438, 509848, files/test1.txt, files/test5.txt
19, Memoización, 30146, 604.42, 509848, files/test1.txt, files/test5.txt
20, Memoización, 30146, 618.855, 509804, files/test1.txt, files/test5.txt
